"","zip","Provider.ID","Hospital.Name","Address","City","State","County.Name","Phone.Number","Hospital.Type","Hospital.Ownership","Emergency.Services","Meets.criteria.for.meaningful.use.of.EHRs","Hospital.overall.rating","Hospital.overall.rating.footnote","Mortality.national.comparison","Mortality.national.comparison.footnote","Safety.of.care.national.comparison","Safety.of.care.national.comparison.footnote","Readmission.national.comparison","Readmission.national.comparison.footnote","Patient.experience.national.comparison","Patient.experience.national.comparison.footnote","Effectiveness.of.care.national.comparison","Effectiveness.of.care.national.comparison.footnote","Timeliness.of.care.national.comparison","Timeliness.of.care.national.comparison.footnote","Efficient.use.of.medical.imaging.national.comparison","Efficient.use.of.medical.imaging.national.comparison.footnote","Location","X","city","state","latitude","longitude"
"11",682,400103,"MAYAGUEZ MEDICAL CENTER DR RAMON EMETERIO BETANCES","CARR 2 BO SABALOS","MAYAGUEZ","PR","MAYAGUEZ",7876529200,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARR 2 BO SABALOS
MAYAGUEZ, PR
",72,"Mayaguez","PR",18.208402,-67.15428
"12",683,400021,"HOSPITAL DE LA CONCEPCION","ROAD NUMBER 2 KM 173.4 CAIN ALTO","SAN GERMAN","PR","SAN GERMAN",7878921860,"Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"2","This hospitals star rating only includes data reported on inpatient services","Same as the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","ROAD NUMBER 2 KM 173.4 CAIN ALTO
SAN GERMAN, PR
",73,"San German","PR",18.092807,-67.04524
"13",683,400126,"HOSPITAL METROPOLITANO SAN GERMAN","CALLE JAVILLA  #8 AL COSTADO PARQUE DE BOMBAS","SAN GERMAN","PR","SAN GERMAN",7878925300,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CALLE JAVILLA #8 AL COSTADO PARQUE DE BOMBAS
SAN GERMAN, PR
",73,"San German","PR",18.092807,-67.04524
"14",693,400115,"CENTRO MEDICO WILMA N VAZQUEZ","CARR. 2 KM 39.5    ROAD NUMBER 2 BO ALGARROBO","VEGA BAJA","PR","VEGA BAJA",7878581580,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARR. 2 KM 39.5 ROAD NUMBER 2 BO ALGARROBO
VEGA BAJA, PR
",79,"Vega Baja","PR",18.440667,-66.3921
"15",698,400110,"HOSPITAL METROPOLITANO DR TITO MATTEI","ROAD 128 KM 1.0","YAUCO","PR","YAUCO",7878561000,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","ROAD 128 KM 1.0
YAUCO, PR
",81,"Yauco","PR",18.06547,-66.85587
"16",705,400018,"MENNONITE GENERAL HOSPITAL INC","CALLE JOSE C VASQUEZ BO. CAONILLAS","AIBONITO","PR","AIBONITO",7875351001,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CALLE JOSE C VASQUEZ BO. CAONILLAS
AIBONITO, PR
",84,"Aibonito","PR",18.12942,-66.26541
"17",714,400026,"LAFAYETTE HOSPITAL","CARR.753 KM.0.1-SECTOR CUATRO CALLES","ARROYO","PR","ARROYO",7878393232,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARR.753 KM.0.1-SECTOR CUATRO CALLES
ARROYO, PR
",86,"Arroyo","PR",17.987288,-66.05552
"18",717,400022,"HOSPITAL DAMAS INC","PONCE BY PASS #2213","PONCE","PR","PONCE",7878408460,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"2","This hospitals star rating only includes data reported on inpatient services","Same as the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","PONCE BY PASS #2213
PONCE, PR
",89,"Ponce","PR",18.004303,-66.61374
"19",725,400104,"HOSPITAL MENONITA CAGUAS INC","CARR 172  EXIT 21 URB TURABO GARDENS","CAGUAS","PR","CAGUAS",7877443141,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARR 172 EXIT 21 URB TURABO GARDENS
CAGUAS, PR
",95,"Caguas","PR",18.233927,-66.04502
"20",725,400120,"HIMA SAN PABLO-CAGUAS","AVE LUIS MUNOZ MARIN","CAGUAS","PR","CAGUAS",7876533434,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"2","This hospitals star rating only includes data reported on inpatient services","Same as the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","AVE LUIS MUNOZ MARIN
CAGUAS, PR
",95,"Caguas","PR",18.233927,-66.04502
"21",733,400003,"HOSPITAL METROPOLITANO DR PILA","2435 LAS AMERICAS AVE","PONCE","PR","PONCE",7878485600,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","2435 LAS AMERICAS AVE
PONCE, PR
",103,"Ponce","PR",18.019331,-66.619165
"22",733,400044,"SAN LUKE'S MEMORIAL HOSPITAL INC","TITO CASTRO AVE #917","PONCE","PR","PONCE",7878442080,"Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"2","This hospitals star rating only includes data reported on inpatient services","Same as the national average","","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","TITO CASTRO AVE #917
PONCE, PR
",103,"Ponce","PR",18.019331,-66.619165
"23",737,400013,"HOSPITAL MENONITA DE CAYEY","BO. RINCON SECTOR LAS LOMAS  KM.3.1 CARR 14","CAYEY","PR","CAYEY",7875351001,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","BO. RINCON SECTOR LAS LOMAS KM.3.1 CARR 14
CAYEY, PR
",107,"Cayey","PR",18.102967,-66.139274
"24",738,400125,"HIMA-SAN PABLO FAJARDO","GENERAL VALERO AVE#404","FAJARDO","PR","FAJARDO",7876550505,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","GENERAL VALERO AVE#404
FAJARDO, PR
",108,"Fajardo","PR",18.32265,-65.66116
"25",738,400131,"CARIBBEAN MEDICAL CENTER","151 AVE OSVALDO MOLINA","FAJARDO","PR","FAJARDO",7878010081,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","151 AVE OSVALDO MOLINA
FAJARDO, PR
",108,"Fajardo","PR",18.32265,-65.66116
"26",780,400113,"HOSPITAL SAN CRISTOBAL","CARR 506 KM 1 0","COTO LAUREL","PR","PONCE",7878482100,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARR 506 KM 1 0
COTO LAUREL, PR
",136,"Coto Laurel","PR",18.068538,-66.55939
"27",785,400009,"SANTA ROSA CLINIC","AVE. LOS VETERANOS #3 KM 135 7 EXIT TO ARROYO","GUAYAMA","PR","GUAYANILLA",7878640101,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","AVE. LOS VETERANOS #3 KM 135 7 EXIT TO ARROYO
GUAYAMA, PR
",140,"Guayama","PR",18.018822,-66.795603
"28",785,400048,"HOSPITAL EPISCOPAL SAN LUCAS GUAYAMA INC","AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA","GUAYAMA","PR","GUAYANILLA",7878644300,"Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA
GUAYAMA, PR
",140,"Guayama","PR",18.018822,-66.795603
"29",791,400007,"RYDER MEMORIAL HOSPITAL INC","355 AVE FONT MARTELO","HUMACAO","PR","HUMACAO",7878520768,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","355 AVE FONT MARTELO
HUMACAO, PR
",142,"Humacao","PR",18.147257,-65.82269
"30",791,400005,"HIMA SAN PABLO HUMACAO","CALLE FONT MARTELO #3","HUMACAO","PR","HUMACAO",7878522424,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CALLE FONT MARTELO #3
HUMACAO, PR
",142,"Humacao","PR",18.147257,-65.82269
"31",792,400011,"HOSPITAL ORIENTE","300 FONT MARTELLO STREET","HUMACAO","PR","HUMACAO",7878520505,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","300 FONT MARTELLO STREET
HUMACAO, PR
",143,"Humacao","PR",18.138029,-65.788499
"32",801,480001,"ROY LESTER SCHNEIDER HOSPITAL,THE","9048 SUGAR ESTATE","ST THOMAS","VI","",8097768311,"Acute Care Hospitals","Government - Local",TRUE,TRUE,"2","","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","9048 SUGAR ESTATE
ST THOMAS, VI
",146,"St Thomas","VI",18.322285,-64.963715
"33",820,480002,"GOV JUAN F LUIS HOSPITAL & MEDICAL CTR","#4007 EST DIAMOND RUBY, CHRISTIANSTED","ST CROIX","VI","",3407786311,"Acute Care Hospitals","Government - State",TRUE,TRUE,"2","This hospitals star rating only includes data reported on inpatient services","Same as the national average","","Same as the national average","","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","#4007 EST DIAMOND RUBY, CHRISTIANSTED
ST CROIX, VI
(17.733184, -64.752261)",151,"Christiansted","VI",17.734211,-64.734694
"34",907,400001,"PRESBYTERIAN COMMUNITY HOSP","1451 ASHFORD AVENUE","SAN JUAN","PR","SAN JUAN",7877212160,"Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"3","This hospitals star rating only includes data reported on inpatient services","Same as the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","1451 ASHFORD AVENUE
SAN JUAN, PR
",165,"San Juan","PR",18.451131,-66.07798
"35",909,400006,"DOCTORS' CENTER HOSPITAL SAN JUAN","PDA. 20 C/ SAN RAFAEL # 1395","FERNANDEZ JUNCOS","PR","SAN JUAN",7877232950,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","PDA. 20 C/ SAN RAFAEL # 1395
FERNANDEZ JUNCOS, PR
",167,"San Juan","PR",18.442282,-66.06764
"36",910,400019,"HOSPITAL PAVIA SANTURCE","CALLE PROFESOR AUGUSTO RODRIGUEZ #1462","FERNANDEZ JUNCOS","PR","SAN JUAN",7877276060,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CALLE PROFESOR AUGUSTO RODRIGUEZ #1462
FERNANDEZ JUNCOS, PR
",168,"San Juan","PR",18.410462,-66.060533
"37",915,400106,"METROPOLITAN HOSPITAL","CARRETERA 21 1785 URB LAS LOMAS","SAN JUAN","PR","SAN JUAN",7877829999,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARRETERA 21 1785 URB LAS LOMAS
SAN JUAN, PR
",173,"San Juan","PR",18.436995,-66.04888
"38",918,400016,"AUXILIO MUTUO HOSPITAL","PONCE DE LEON AVENUE STOP 36 1/2 #735","HATO REY","PR","SAN JUAN",7877582000,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"2","This hospitals star rating only includes data reported on inpatient services","Below the national average","","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","PONCE DE LEON AVENUE STOP 36 1/2 #735
HATO REY, PR
",176,"San Juan","PR",18.417668,-66.06494
"39",919,400128,"HOSPITAL PAVIA HATO REY, INC","AVE PONCE DE LEON 435","HATO REY","PR","SAN JUAN",7877540909,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","AVE PONCE DE LEON 435
HATO REY, PR
",177,"San Juan","PR",18.410462,-66.060533
"40",923,400098,"HOSPITAL SAN FRANCISCO","371 DE DIEGO AVE","SAN JUAN","PR","SAN JUAN",7877675100,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","371 DE DIEGO AVE
SAN JUAN, PR
",181,"San Juan","PR",18.410681,-66.03806
"41",927,400061,"HOSPITAL UNIVERSITARIO DE ADULTO","BARRIO MONACILLOS CENTROMEDICO","RIO PIEDRAS","PR","SAN JUAN",7877540101,"Acute Care Hospitals","Government - State",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","BARRIO MONACILLOS CENTROMEDICO
RIO PIEDRAS, PR
",185,"San Juan","PR",18.39184,-66.06867
"42",928,400121,"HOSPITAL SAN GERARDO","CARR 844 KM 0 5  CUPEY BAJO","SAN JUAN","PR","SAN JUAN",7877618383,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,NA,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARR 844 KM 0 5 CUPEY BAJO
SAN JUAN, PR
",186,"San Juan","PR",18.410462,-66.060533
